Manufacturer,Brand,Category,Part Number,Description,Material,Size,UOM,Pressure Rating,Pressure UOM,Connection Type,Temperature Range
Velan Inc,N/A,Globe Valve,VEL-GL-34-0001,"3/4 in Carbon Steel Globe Valve, 200 CWP",carbon steel,3/4,,200,CWP,N/A,0°C to 200°C
KITZ Corp,Milwaukee,Centrifugal Pump,KIT-CE-6-0002,"6 in Cast Iron Centrifugal Pump, 800 psi",cast iron,6,in,800,psi,FNPT,-40°F to 400°F
VICTAULIC,Swagelok,Globe Valve,VIC-GL-3-0003,"3 in Stainless Steel 316 Globe Valve, 200 psi",316 Stainless Steel,3,in,200,psi,Compression,-40°F to 400°F
VELAN,Milwaukee,Centrifugal Pump,VEL-CE-3-0004,"3 in Bronze Centrifugal Pump, 400 psi",bronze,3,in,400,,Flanged,-20°C to 180°C
Apollo Valve,Milwaukee,Butterfly Valve,APO-BU-34-0005,"3/4 in Stainless Steel 316 Butterfly Valve, 1000 WOG",SS316,3/4,in,1000,WOG,FNPT,0°F to 250°F
Nibco,Sharpe,Centrifugal Pump,NIB-CE-4-0006,"4 in Cast Iron Centrifugal Pump, 1000 CWP",CI,4,in,N/A,CWP,NPT,-20°C to 180°C
Crane Company,Kitz,Check Valve,CRA-CH-2-0007,"2 in Cast Iron Check Valve, 600 CWP",Cast Iron,2,in,600,CWP,Threaded,-40°F to 400°F
VICTAULIC,Victaulic,Reducer,VIC-RE-2-0008,"2 in Stainless Steel 316 Reducer, 200 psi",SS316,2,in,200,psi,Threaded,0°F to 250°F
VELAN,Fisher,Tee Fitting,VEL-TE-2-12-0009,"2-1/2 mm Stainless Steel 304 Tee Fitting, 1000 psi",304 Stainless Steel,2-1/2,mm,1000,psi,n/a,
Milwaukee,NIBCO,Ball Valve,MIL-BA-6-0010,"6 in Bronze Ball Valve, 400 psi",BRONZE,6,in,n/a,psi,NPT,0°F to 250°F
BRAY,Swagelok,Ball Valve,BRA-BA-1-14-0011,"1-1/4 in Ductile Iron Ball Valve, 1000 WOG",n/a,1-1/4,in,1000,WOG,Threaded,-20°F to 350°F
APOLLO,Watts,Gate Valve,APO-GA-2-0012,"2 mm Bronze Gate Valve, 200 psi",bronze,2,mm,--,psi,Compression,--
APOLLO,,Coupling,APO-CO-1-0013,"1 in PVC Coupling, 1500 psi",pvc,,in,,psi,FNPT,0°F to 250°F
Parker-Hannifin,Victaulic,Gate Valve,PAR-GA-3-0014,"3 in Bronze Gate Valve, 400 WOG",bronze,3,in,400,WOG,NPT,0°C to 200°C
Flowserve Corp,Milwaukee,Needle Valve,FLO-NE-2-0015,"2 in Stainless Steel 304 Needle Valve, 200 psi",304 Stainless Steel,2,in,200,psi,Flanged,0°C to 200°C
Honeywell Inc,Fisher,Centrifugal Pump,HON-CE-3-0016,"3 mm Stainless Steel 304 Centrifugal Pump, 150 CWP",304 SS,3,mm,150,CWP,BSP,-20°F to 350°F
VELAN,Milwaukee,Globe Valve,VEL-GL-38-0017,"3/8 in Brass Globe Valve, 600 psi",brass,3/8,in,600,n/a,NPT,0°F to 250°F
Victaulic Company,Watts,Globe Valve,VIC-GL-1-12-0018,"1-1/2 in Cast Iron Globe Valve, 150 psi",cast iron,1-1/2,in,150,psi,BSP,-20°F to 350°F
Victaulic Company,NIBCO,Tee Fitting,VIC-TE-14-0019,"1/4 in Ductile Iron Tee Fitting, 800 WOG",DI,1/4,in,N/A,WOG,Threaded,-40°F to 400°F
BRAY,NIBCO,Needle Valve,BRA-NE-1-12-0020,"1-1/2 in Carbon Steel Needle Valve, 600 psi",CS,1-1/2,in,--,psi,Threaded,0°F to 250°F
