row_number,manufacturer,brand,category,part_number,description,material,size,size_uom,pressure_rating,pressure_uom,connection_type,temperature_range
2,Velan,,Globe Valve,VEL-GL-34-0001,"3/4 in Carbon Steel Globe Valve, 200 CWP",Carbon Steel,3/4,,200,CWP,NPT,0°C to 200°C
3,Kitz Corporation,Milwaukee,Centrifugal Pump,KIT-CE-6-0002,"6 in Cast Iron Centrifugal Pump, 800 psi",Cast Iron,6,in,800,psi,FNPT,-40°F to 400°F
4,Victaulic,Swagelok,Globe Valve,VIC-GL-3-0003,"3 in Stainless Steel 316 Globe Valve, 200 psi",Stainless Steel 316,3,in,200,psi,Compression,-40°F to 400°F
5,Velan,Milwaukee,Centrifugal Pump,VEL-CE-3-0004,"3 in Bronze Centrifugal Pump, 400 psi",Bronze,3,in,400,,Flanged,-20°C to 180°C
6,Apollo Valves,Milwaukee,Butterfly Valve,APO-BU-34-0005,"3/4 in Stainless Steel 316 Butterfly Valve, 1000 WOG",Stainless Steel 316,3/4,in,1000,WOG,FNPT,0°F to 250°F
7,Nibco,Sharpe,Centrifugal Pump,NIB-CE-4-0006,"4 in Cast Iron Centrifugal Pump, 1000 CWP",Cast Iron,4,in,,CWP,NPT,-20°C to 180°C
8,Crane Co.,Kitz,Check Valve,CRA-CH-2-0007,"2 in Cast Iron Check Valve, 600 CWP",Cast Iron,2,in,600,CWP,Threaded,-40°F to 400°F
9,Victaulic,Victaulic,Reducer,VIC-RE-2-0008,"2 in Stainless Steel 316 Reducer, 200 psi",Stainless Steel 316,2,in,200,psi,Threaded,0°F to 250°F
10,Velan,Fisher,Tee Fitting,VEL-TE-2-12-0009,"2-1/2 mm Stainless Steel 304 Tee Fitting, 1000 psi",Stainless Steel 304,2-1/2,mm,1000,psi,,
11,Milwaukee Valve,NIBCO,Ball Valve,MIL-BA-6-0010,"6 in Bronze Ball Valve, 400 psi",Bronze,6,in,400,psi,NPT,0°F to 250°F
12,Bray International,Swagelok,Ball Valve,BRA-BA-1-14-0011,"1-1/4 in Ductile Iron Ball Valve, 1000 WOG",Ductile Iron,1-1/4,in,1000,WOG,Threaded,-20°F to 350°F
13,Apollo Valves,Watts,Gate Valve,APO-GA-2-0012,"2 mm Bronze Gate Valve, 200 psi",Bronze,2,mm,200,psi,Compression,
14,Apollo Valves,,Coupling,APO-CO-1-0013,"1 in PVC Coupling, 1500 psi",PVC,,in,,psi,FNPT,0°F to 250°F
15,Parker Hannifin,Victaulic,Gate Valve,PAR-GA-3-0014,"3 in Bronze Gate Valve, 400 WOG",Bronze,3,in,400,WOG,NPT,0°C to 200°C
16,Flowserve,Milwaukee,Needle Valve,FLO-NE-2-0015,"2 in Stainless Steel 304 Needle Valve, 200 psi",Stainless Steel 304,2,in,200,psi,Flanged,0°C to 200°C
17,Honeywell,Fisher,Centrifugal Pump,HON-CE-3-0016,"3 mm Stainless Steel 304 Centrifugal Pump, 150 CWP",Stainless Steel 304,3,mm,150,CWP,BSP,-20°F to 350°F
18,Velan,Milwaukee,Globe Valve,VEL-GL-38-0017,"3/8 in Brass Globe Valve, 600 psi",Brass,3/8,in,600,,NPT,0°F to 250°F
19,Victaulic,Watts,Globe Valve,VIC-GL-1-12-0018,"1-1/2 in Cast Iron Globe Valve, 150 psi",Cast Iron,1-1/2,in,150,psi,BSP,-20°F to 350°F
20,Victaulic,NIBCO,Tee Fitting,VIC-TE-14-0019,"1/4 in Ductile Iron Tee Fitting, 800 WOG",Ductile Iron,1/4,in,800,WOG,Threaded,-40°F to 400°F
21,Bray International,NIBCO,Needle Valve,BRA-NE-1-12-0020,"1-1/2 in Carbon Steel Needle Valve, 600 psi",Carbon Steel,1-1/2,in,,psi,Threaded,0°F to 250°F
22,Crane Co.,Apollo,Check Valve,CRA-CH-6-0021,"6 in Stainless Steel 316 Check Valve, 1000 CWP",Stainless Steel 316,6,,1000,CWP,Solder,-20°F to 350°F
23,Velan,NIBCO,Ball Valve,VEL-BA-3-0022,"3 in Stainless Steel 316 Ball Valve, 200 psi",Stainless Steel 316,3,in,200,psi,Solder,0°F to 250°F
24,Kitz Corporation,Milwaukee,Ball Valve,KIT-BA-1-0023,"1 in Stainless Steel 304 Ball Valve, 1000 CWP",Stainless Steel 304,1,in,1000,CWP,Solder,0°F to 250°F
25,Velan,Grundfos,Gate Valve,VEL-GA-34-0024,"3/4 in Stainless Steel 304 Gate Valve, 300 psi",Stainless Steel 304,3/4,in,300,psi,NPT,-40°F to 400°F
26,Honeywell,Apollo,Elbow Fitting,HON-EL-34-0025,"3/4 in Ductile Iron Elbow Fitting, 1500 psi",Ductile Iron,3/4,in,1500,psi,Solder,-40°F to 400°F
27,Swagelok,Victaulic,Butterfly Valve,SWA-BU-12-0026,"1/2 in PVC Butterfly Valve, 1500 psi",PVC,1/2,in,1500,psi,Threaded,-40°F to 400°F
28,Victaulic,Victaulic,Gate Valve,VIC-GA-1-12-0027,"1-1/2 in Carbon Steel Gate Valve, 400 psi",,1-1/2,in,400,psi,,-20°C to 180°C
29,Kitz Corporation,,Globe Valve,KIT-GL-1-12-0028,"1-1/2 in Stainless Steel 304 Globe Valve, 400 WOG",Stainless Steel 304,1-1/2,in,400,WOG,FNPT,0°F to 250°F
30,Parker Hannifin,Swagelok,Needle Valve,PAR-NE-38-0029,"3/8 in Brass Needle Valve, 300 WOG",Brass,3/8,in,300,WOG,FNPT,-20°F to 350°F
31,Nibco,Apollo,Centrifugal Pump,NIB-CE-34-0030,"3/4 in Stainless Steel 316 Centrifugal Pump, 150 psi",Stainless Steel 316,3/4,in,150,psi,FNPT,-40°F to 400°F
32,Kitz Corporation,Grundfos,Flange,KIT-FL-12-0031,"1/2 in Bronze Flange, 200 CWP",Bronze,1/2,in,200,CWP,NPT,0°F to 250°F
33,Crane Co.,,Centrifugal Pump,CRA-CE-1-14-0032,"1-1/4 mm Brass Centrifugal Pump, 1000 psi",Brass,1-1/4,mm,1000,psi,NPT,0°C to 200°C
34,Honeywell,Victaulic,Coupling,HON-CO-2-0033,"2 in PVC Coupling, 600 psi",PVC,2,in,600,psi,,-40°F to 400°F
35,Honeywell,Fisher,Globe Valve,HON-GL-1-0034,"1 mm Stainless Steel 316 Globe Valve, 600 CWP",Stainless Steel 316,1,mm,600,CWP,NPT,0°C to 200°C
36,Emerson Electric,Milwaukee,Needle Valve,EME-NE-1-0035,"1 mm Carbon Steel Needle Valve, 800 WOG",Carbon Steel,1,mm,800,WOG,Solder,0°C to 200°C
37,Pentair,Victaulic,Flange,PEN-FL-34-0036,"3/4 in Cast Iron Flange, 1500 psi",Cast Iron,3/4,in,1500,psi,,0°C to 200°C
38,Crane Co.,Apollo,Reducer,CRA-RE-6-0037,"6 in Stainless Steel 304 Reducer, 1500 psi",Stainless Steel 304,6,,1500,psi,Threaded,-20°F to 350°F
39,Emerson Electric,Grundfos,Ball Valve,EME-BA-12-0038,"1/2 mm Cast Iron Ball Valve, 600 psi",Cast Iron,1/2,mm,600,psi,FNPT,-20°F to 350°F
40,Apollo Valves,Milwaukee,Ball Valve,APO-BA-34-0039,"3/4 in Bronze Ball Valve, 600 psi",,3/4,in,600,psi,FNPT,-40°F to 400°F
41,Nibco,Sharpe,Globe Valve,NIB-GL-1-12-0040,"1-1/2 in Carbon Steel Globe Valve, 400 psi",Carbon Steel,1-1/2,in,400,psi,BSP,-40°F to 400°F
42,,Victaulic,Check Valve,CRA-CH-3-0041,"3 in Bronze Check Valve, 1000 psi",Bronze,3,in,,psi,Solder,0°F to 250°F
43,Bray International,Watts,Needle Valve,BRA-NE-1-0042,"1 in PVC Needle Valve, 1000 WOG",PVC,1,in,1000,WOG,NPT,-20°C to 180°C
44,Milwaukee Valve,Apollo,Globe Valve,MIL-GL-1-14-0043,"1-1/4 in Stainless Steel 304 Globe Valve, 1000 CWP",Stainless Steel 304,1-1/4,in,1000,CWP,Threaded,-20°F to 350°F
45,,Watts,Union,MIL-UN-38-0044,"3/8 in PVC Union, 400 psi",PVC,3/8,in,400,psi,BSP,0°C to 200°C
46,Crane Co.,Victaulic,Centrifugal Pump,CRA-CE-2-0045,"2 in PVC Centrifugal Pump, 1500 CWP",PVC,2,,1500,CWP,FNPT,-20°C to 180°C
47,Crane Co.,Apollo,Globe Valve,CRA-GL-12-0046,"1/2 in PVC Globe Valve, 1500 psi",PVC,1/2,in,1500,psi,BSP,0°C to 200°C
48,Watts Water Technologies,Fisher,Centrifugal Pump,WAT-CE-4-0047,"4 in Ductile Iron Centrifugal Pump, 1500 psi",Ductile Iron,4,in,1500,,FNPT,0°C to 200°C
49,Honeywell,Sharpe,Globe Valve,HON-GL-3-0048,"3 in Stainless Steel 316 Globe Valve, 200 psi",Stainless Steel 316,3,in,,,Threaded,0°C to 200°C
50,Flowserve,Sharpe,Ball Valve,FLO-BA-2-0049,"2 in Bronze Ball Valve, 600 psi",Bronze,2,in,600,psi,NPT,0°F to 250°F
51,Swagelok,Swagelok,Gate Valve,SWA-GA-3-0050,"3 in PVC Gate Valve, 400 WOG",PVC,3,in,400,WOG,Compression,0°F to 250°F
52,Crane Co.,Swagelok,Check Valve,CRA-CH-34-0051,"3/4 in Stainless Steel 304 Check Valve, 1500 psi",Stainless Steel 304,3/4,in,1500,psi,FNPT,-20°C to 180°C
53,Pentair,Apollo,Flange,PEN-FL-1-0052,"1 in PVC Flange, 800 psi",PVC,1,in,800,psi,Compression,-40°F to 400°F
54,Nibco,Apollo,Needle Valve,NIB-NE-38-0053,"3/8 in Cast Iron Needle Valve, 800 WOG",Cast Iron,3/8,in,800,WOG,FNPT,-40°F to 400°F
55,Bray International,Milwaukee,Centrifugal Pump,BRA-CE-2-0054,"2 in Bronze Centrifugal Pump, 300 psi",Bronze,2,,300,psi,Threaded,-20°C to 180°C
